SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -91
SSID: workstation-local, BSSID: 28:cd:c4:57:cb:f3, RSSI: -74
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:d1, RSSI: -75
SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -75
SSID: eduroam, BSSID: d0:4d:c6:f3:03:a0, RSSI: -47
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:03:a1, RSSI: -47
SSID: TUD-facility, BSSID: d0:4d:c6:f3:03:a2, RSSI: -47
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -70
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:51, RSSI: -70
SSID: TUD-facility, BSSID: d0:4d:c6:f2:a5:42, RSSI: -77
SSID: TUD-facility, BSSID: d0:4d:c6:f1:d7:72, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:a2, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:62:64:52, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f1:d7:70, RSSI: -79
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:a1, RSSI: -89
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:d2, RSSI: -75
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:d7:71, RSSI: -79
SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:a5:51, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f2:a5:50, RSSI: -93
SSID: eduroam, BSSID: 1c:28:af:65:fd:c0, RSSI: -79
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:ae:a1, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:e2, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:65:ce:32, RSSI: -93
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ce:31, RSSI: -95
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:d7:61, RSSI: -70
SSID: TUD-facility, BSSID: d0:4d:c6:f1:d7:62, RSSI: -70
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:65:ce:30, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f1:d7:60, RSSI: -76
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:c1, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f2:a5:40, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:61:e5:d2, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:61:e5:d0, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e5:d1, RSSI: -78
SSID: SmartLife-5DFF, BSSID: 86:cc:a8:b8:5d:ff, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f2:ed:50, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:ed:52, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f2:a8:12, RSSI: -88
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:ed:51, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e5:c1, RSSI: -67
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:61:e5:c2, RSSI: -67
SSID: eduroam, BSSID: 1c:28:af:61:e5:c0, RSSI: -67
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f3:03:b0, RSSI: -60
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:12, RSSI: -80
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:03:b1, RSSI: -60
SSID: TUD-facility, BSSID: d0:4d:c6:f3:03:b2, RSSI: -60
SSID: eduroam, BSSID: 1c:28:af:62:04:a0, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:62:64:40, RSSI: -74
SSID: TUD-facility, BSSID: d0:4d:c6:f2:ed:42, RSSI: -71
SSID: TUD-facility, BSSID: d0:4d:c6:f2:a8:02, RSSI: -79
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:ed:41, RSSI: -71
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:41, RSSI: -74
