SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:d2, RSSI: -77
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:d7:71, RSSI: -91
SSID: tudelft-dastud, BSSID: 1c:28:af:66:04:81, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:65:fc:50, RSSI: -84
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fc:51, RSSI: -84
SSID: eduroam, BSSID: d0:4d:c6:f2:2a:e0, RSSI: -76
SSID: TUD-facility, BSSID: d0:4d:c6:f2:2a:e2, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:65:fc:52, RSSI: -84
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:2a:e1, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:65:fd:c0, RSSI: -74
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:01, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:e7:72, RSSI: -94
SSID: TUD-facility, BSSID: 1c:28:af:65:ce:32, RSSI: -74
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ce:31, RSSI: -75
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -74
SSID: eduroam, BSSID: 1c:28:af:65:ce:30, RSSI: -74
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:c1, RSSI: -74
SSID: eduroam, BSSID: d0:4d:c6:f1:d7:60, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:66:04:92, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f7:32, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f7:31, RSSI: -86
SSID: eduroam, BSSID: 1c:28:af:66:04:90, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:66:04:91, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f2:f7:30, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:61:e5:d2, RSSI: -65
SSID: eduroam, BSSID: 1c:28:af:61:e5:d0, RSSI: -65
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e5:d1, RSSI: -65
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fc:41, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:31, RSSI: -74
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:11, RSSI: -89
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:32, RSSI: -74
SSID: TUD-facility, BSSID: 1c:28:af:61:df:12, RSSI: -90
SSID: eduroam, BSSID: 1c:28:af:61:df:10, RSSI: -89
SSID: SmartLife-5DFF, BSSID: 86:cc:a8:b8:5d:ff, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -92
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -94
SSID: eduroam, BSSID: d0:4d:c6:f2:ed:50, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:66:03:42, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:66:03:40, RSSI: -77
SSID: tudelft-dastud, BSSID: 1c:28:af:66:03:41, RSSI: -76
SSID: TUD-facility, BSSID: d0:4d:c6:f2:a8:12, RSSI: -85
