SSID: TUD-facility, BSSID: 1c:28:af:65:ba:52, RSSI: -91
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:42, RSSI: -91
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:41, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:40, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:65:ba:40, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:42, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:41, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f1:11, RSSI: -94
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5c:02, RSSI: -93
SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -95
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -72
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:51, RSSI: -73
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:a2, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:62:64:52, RSSI: -72
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:a1, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:31, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:32, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -65
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -65
SSID: eduroam, BSSID: 1c:28:af:65:ec:30, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f3:02:50, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f3:02:52, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -65
SSID: eduroam, BSSID: 1c:28:af:65:ec:20, RSSI: -76
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:21, RSSI: -70
