SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:62:64:42, RSSI: -76
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -87
SSID: eduroam, BSSID: d0:4d:c6:f3:02:40, RSSI: -82
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:02:41, RSSI: -80
SSID: TUD-facility, BSSID: d0:4d:c6:f3:02:42, RSSI: -81
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:a2, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:61:f9:02, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:61:ec:a0, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:61:f9:00, RSSI: -80
SSID: TUD-facility, BSSID: 1c:28:af:61:e7:d2, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:65:c2:51, RSSI: -91
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:71, RSSI: -96
SSID: eduroam, BSSID: d0:4d:c6:f2:43:70, RSSI: -96
SSID: eduroam, BSSID: 1c:28:af:62:42:b0, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:62:42:b2, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:62:42:b1, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:61:ef:d2, RSSI: -90
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ef:d1, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:62:42:a2, RSSI: -77
SSID: tudelft-dastud, BSSID: 1c:28:af:62:42:a1, RSSI: -77
SSID: eduroam, BSSID: 1c:28:af:62:42:a0, RSSI: -76
SSID: eduroam, BSSID: 1c:28:af:61:ef:d0, RSSI: -90
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:d1, RSSI: -96
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:92, RSSI: -73
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:91, RSSI: -73
SSID: eduroam, BSSID: d0:4d:c6:f2:50:90, RSSI: -73
SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -65
SSID: eduroam, BSSID: d0:4d:c6:f2:08:30, RSSI: -84
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:08:31, RSSI: -84
SSID: TUD-facility, BSSID: d0:4d:c6:f2:08:32, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e1:f1, RSSI: -84
SSID: eduroam, BSSID: 1c:28:af:65:e1:f0, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:65:e1:f2, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:82, RSSI: -73
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:81, RSSI: -73
SSID: eduroam, BSSID: d0:4d:c6:f2:50:80, RSSI: -72
SSID: TUD-facility, BSSID: d0:4d:c6:f2:08:22, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:3d:40, RSSI: -84
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -81
SSID: tudelft-dastud, BSSID: 1c:28:af:62:4f:81, RSSI: -82
SSID: TUD-facility, BSSID: 1c:28:af:62:4f:82, RSSI: -82
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -81
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -81
SSID: eduroam, BSSID: 1c:28:af:62:4f:80, RSSI: -82
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -88
SSID: TUD-facility, BSSID: 1c:28:af:65:c2:52, RSSI: -92
