SSID: tudelft-dastud, BSSID: 1c:28:af:65:e1:f1, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:65:e1:f0, RSSI: -88
SSID: TUD-facility, BSSID: 1c:28:af:65:e1:f2, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:65:fd:c0, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -82
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:82, RSSI: -80
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:81, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f2:50:80, RSSI: -80
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:c1, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:11, RSSI: -90
SSID: TUD-facility, BSSID: 1c:28:af:61:df:12, RSSI: -90
SSID: eduroam, BSSID: 1c:28:af:61:df:10, RSSI: -90
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -88
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:91, RSSI: -88
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -86
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:22, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -91
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:a1, RSSI: -81
SSID: TUD-facility, BSSID: 1c:28:af:62:04:a2, RSSI: -81
SSID: eduroam, BSSID: 1c:28:af:62:64:40, RSSI: -76
SSID: moto g73 5G_6343, BSSID: 3e:60:75:72:70:a2, RSSI: -88
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:41, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:62:64:42, RSSI: -76
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -59
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -59
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -59
SSID: eduroam, BSSID: 1c:28:af:65:c3:20, RSSI: -70
SSID: tudelft-dastud, BSSID: 1c:28:af:65:c3:21, RSSI: -69
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:d2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:61:e7:d1, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:61:e7:d0, RSSI: -92
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:d0, RSSI: -80
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:d1, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:62:7c:d0, RSSI: -92
SSID: TUD-facility, BSSID: 1c:28:af:62:7c:d2, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:62:7c:d1, RSSI: -94
SSID: Pixel_9827, BSSID: 36:39:b2:f4:c7:c5, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:65:c3:22, RSSI: -69
SSID: eduroam, BSSID: d0:4d:c6:f1:5d:60, RSSI: -94
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:5d:61, RSSI: -91
SSID: TUD-facility, BSSID: d0:4d:c6:f1:5d:62, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f2:81:00, RSSI: -73
SSID: eduroam, BSSID: d0:4d:c6:f2:43:a0, RSSI: -56
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:01, RSSI: -73
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:51, RSSI: -86
SSID: eduroam, BSSID: 1c:28:af:65:ba:50, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -56
SSID: TUD-facility, BSSID: 1c:28:af:61:e7:c2, RSSI: -78
